"","yob2.Prop..Rem.","yob2.Num..Rem","yob2.Med..Time"
"Start>methotrexaat",0.5,45,253
"Start>methotrexaat>leflunomide&methotrexaat",0.428571428571429,3,344
"Start>sulfasalazine",0.25,2,477.5
"Start>tocilizumab",1,1,0
"Start>methotrexaat>leflunomide",1,1,132
"Start>methotrexaat>hydroxychloroquine",1,1,1449
"Start>etanercept>etanercept&sulfasalazine>etanercept",1,1,281
"Start>methotrexaat>methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine",0.5,2,696.5
"Start>hydroxychloroquine",0.428571428571429,3,193
"Start>methotrexaat>hydroxychloroquine&methotrexaat",0.285714285714286,4,450.5
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&leflunomide&sulfasalazine>hydroxychloroquine&sulfasalazine>hydroxychloroquine&leflunomide&sulfasalazine>hydroxychloroquine&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,1830
"Start>leflunomide>etanercept&leflunomide",1,1,399
"Start>leflunomide",0.5,1,63
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&sulfasalazine",1,1,147
"Start>sulfasalazine>hydroxychloroquine&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&sulfasalazine",1,1,678
"Start>methotrexaat>azathioprine&methotrexaat",1,1,1380
"Start>sulfasalazine>methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide",1,1,371
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat",1,1,566
"Start>methotrexaat>leflunomide&methotrexaat>leflunomide",1,1,652
"Start>hydroxychloroquine&methotrexaat",1,1,0
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>leflunomide>leflunomide&methotrexaat>adalimumab&leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>hydroxychloroquine&leflunomide>hydroxychloroquine&leflunomide&methotrexaat>hydroxychloroquine&leflunomide>hydroxychloroquine&leflunomide&methotrexaat>hydroxychloroquine&leflunomide>azathioprine&hydroxychloroquine&leflunomide",1,1,1233
"Start>methotrexaat>leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat",1,1,573
"Start>methotrexaat&sulfasalazine>adalimumab&methotrexaat&sulfasalazine>adalimumab&golimumab&methotrexaat&sulfasalazine>adalimumab&golimumab&methotrexaat",1,1,554
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,642
"Start>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,627
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine",0.5,1,186
"Start>etanercept&hydroxychloroquine&methotrexaat>etanercept&methotrexaat>methotrexaat",1,1,97
"Start>methotrexaat>leflunomide&methotrexaat>adalimumab&leflunomide&methotrexaat",1,1,544
"Start>methotrexaat>methotrexaat&sulfasalazine",0.166666666666667,1,434
"Start>methotrexaat>methotrexaat&tocilizumab>methotrexaat",1,1,363
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,678
"Start>hydroxychloroquine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,702
