"","vis13.Prop..Rem.","vis13.Num..Rem","vis13.Med..Time"
"Start>methotrexaat",0.528455284552846,65,206
"Start>methotrexaat>hydroxychloroquine&methotrexaat",0.526315789473684,10,381.5
"Start>sulfasalazine",0.615384615384615,8,87
"Start>hydroxychloroquine",0.333333333333333,4,40
"Start>tocilizumab",1,3,0
"Start>methotrexaat>methotrexaat&sulfasalazine",0.4,2,476
"Start>methotrexaat>hydroxychloroquine",1,1,1449
"Start>methotrexaat>leflunomide",0.333333333333333,1,735
"Start>etanercept>etanercept&sulfasalazine>etanercept",1,1,281
"Start>methotrexaat>methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,345
"Start>methotrexaat>leflunomide>adalimumab&leflunomide>leflunomide>leflunomide&tocilizumab",1,1,731
"Start>etanercept>etanercept&methotrexaat>etanercept",1,1,511
"Start>sulfasalazine>hydroxychloroquine&sulfasalazine>sulfasalazine",1,1,200
"Start>sulfasalazine>adalimumab&methotrexaat&sulfasalazine>adalimumab&methotrexaat",1,1,427
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&leflunomide&sulfasalazine>hydroxychloroquine&sulfasalazine>hydroxychloroquine&leflunomide&sulfasalazine>hydroxychloroquine&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,1830
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,483
"Start>leflunomide>etanercept&leflunomide",1,1,399
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine",0.2,1,323
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&sulfasalazine",1,1,147
"Start>methotrexaat>leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide&methotrexaat",1,1,755
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>methotrexaat&sulfasalazine>sulfasalazine",1,1,331
"Start>sulfasalazine>methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide&methotrexaat>etanercept&hydroxychloroquine&leflunomide",1,1,371
"Start>methotrexaat>hydroxychloroquine&methotrexaat>methotrexaat>methotrexaat&sulfasalazine>methotrexaat>methotrexaat&tocilizumab>tocilizumab",1,1,501
"Start>methotrexaat>leflunomide&methotrexaat>methotrexaat>methotrexaat&sulfasalazine",1,1,357
"Start>methotrexaat>leflunomide&methotrexaat>leflunomide",1,1,652
"Start>hydroxychloroquine&methotrexaat",0.5,1,1856
"Start>certolizumab&methotrexaat&sulfasalazine",1,1,315
"Start>hydroxychloroquine>hydroxychloroquine&methotrexaat>hydroxychloroquine",0.5,1,105
"Start>methotrexaat&sulfasalazine>adalimumab&methotrexaat&sulfasalazine>adalimumab&golimumab&methotrexaat&sulfasalazine>adalimumab&golimumab&methotrexaat",1,1,554
"Start>methotrexaat>sulfasalazine",1,2,264.5
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&sulfasalazine",1,1,1820
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine",0.5,1,200
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,642
"Start>methotrexaat>leflunomide>hydroxychloroquine&leflunomide",1,1,515
"Start>etanercept&hydroxychloroquine&methotrexaat>etanercept&methotrexaat>methotrexaat",1,1,97
"Start>adalimumab>adalimumab&leflunomide>adalimumab&leflunomide&sulfasalazine>leflunomide&sulfasalazine",1,1,687
"Start>methotrexaat>leflunomide&methotrexaat>adalimumab&leflunomide&methotrexaat",1,1,544
"Start>methotrexaat>methotrexaat&tocilizumab>methotrexaat",1,1,363
"Start>methotrexaat>leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine",1,1,1478
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,678
"Start>hydroxychloroquine>hydroxychloroquine&methotrexaat>methotrexaat",1,1,702
