"","yob3.Prop..Rem.","yob3.Num..Rem","yob3.Med..Time"
"Start>methotrexaat>hydroxychloroquine&methotrexaat",0.454545454545455,5,276
"Start>methotrexaat",0.542168674698795,45,146
"Start>sulfasalazine",0.538461538461538,7,113
"Start>hydroxychloroquine",0.333333333333333,2,29
"Start>tocilizumab",1,1,0
"Start>methotrexaat>methotrexaat&sulfasalazine",0.5,2,986.5
"Start>methotrexaat>leflunomide",0.5,2,602
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat",1,1,786
"Start>methotrexaat>leflunomide>adalimumab&leflunomide>leflunomide>leflunomide&tocilizumab",1,1,731
"Start>etanercept>etanercept&methotrexaat>etanercept",1,1,511
"Start>hydroxychloroquine>hydroxychloroquine&sulfasalazine",1,1,686
"Start>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine>adalimumab&hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine>hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine",1,1,464
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine",1,2,490.5
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine&tocilizumab>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,812
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>methotrexaat&sulfasalazine>sulfasalazine",1,1,331
"Start>adalimumab&sulfasalazine",1,1,0
"Start>methotrexaat>leflunomide&methotrexaat>etanercept&leflunomide&methotrexaat>etanercept&leflunomide>etanercept",1,1,449
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine>hydroxychloroquine&infliximab&leflunomide&methotrexaat&sulfasalazine>hydroxychloroquine&infliximab&leflunomide&methotrexaat&rituximab&sulfasalazine",1,1,739
"Start>methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat",1,1,329
"Start>hydroxychloroquine&methotrexaat",0.333333333333333,1,1856
"Start>certolizumab&methotrexaat&sulfasalazine",1,1,315
"Start>etanercept&methotrexaat",1,1,490
"Start>sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine",1,1,97
"Start>methotrexaat>sulfasalazine",1,2,264.5
"Start>methotrexaat>hydroxychloroquine&methotrexaat>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&sulfasalazine",1,2,1039
"Start>sulfasalazine>azathioprine",1,1,41
"Start>methotrexaat>methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat&sulfasalazine>hydroxychloroquine&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat",1,1,582
"Start>sulfasalazine>methotrexaat&sulfasalazine",1,1,423
"Start>methotrexaat>leflunomide>hydroxychloroquine&leflunomide",1,1,515
"Start>adalimumab>adalimumab&leflunomide>adalimumab&leflunomide&sulfasalazine>leflunomide&sulfasalazine",1,1,687
"Start>adalimumab>adalimumab&methotrexaat",1,1,152
"Start>leflunomide>tocilizumab",1,1,435
"Start>methotrexaat>leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat>hydroxychloroquine&leflunomide&methotrexaat&sulfasalazine",0.5,1,1478
"Start>methotrexaat>leflunomide&methotrexaat>leflunomide&methotrexaat&sulfasalazine",1,1,266
